service_no,user_no,inst_no,start_date,end_date,care_service,alert_service,check_service
17399,7,16,2020-06-06,2020-07-13,Y,Y,N
17400,7,14,2020-10-13,2021-01-30,Y,N,Y
17401,15,18,2023-09-03,2023-09-11,N,N,N
17402,7,7,2021-04-11,2021-07-28,N,Y,Y
17403,6,7,2020-05-26,2021-02-01,N,Y,N
17404,10,19,2020-11-07,2021-06-26,Y,Y,N
17405,1,16,2021-09-09,2022-05-18,N,Y,Y
17406,10,5,2024-04-02,2024-11-15,Y,N,N
17407,15,4,2023-10-03,2024-07-06,N,N,Y
17408,9,4,2023-10-21,2023-12-27,N,N,Y
17409,5,23,2023-12-06,2024-11-03,N,N,N
17410,11,21,2022-01-28,2022-11-23,N,Y,Y
17411,1,11,2022-05-11,2022-12-02,N,Y,N
17412,10,23,2021-06-13,2022-04-06,Y,Y,Y
17413,4,23,2024-05-25,2024-12-27,N,N,N
17414,9,9,2023-06-01,2024-01-12,N,N,Y
17415,10,9,2021-09-12,2022-09-08,Y,Y,Y
17416,9,7,2023-06-20,2024-05-24,Y,N,N
17417,14,8,2021-01-09,2021-09-06,N,N,N
17418,2,10,2023-08-08,2023-11-16,Y,N,N
17419,3,14,2022-06-26,2022-11-17,Y,Y,Y
17420,7,2,2020-08-09,2021-01-14,N,Y,Y
17421,11,13,2023-10-17,2024-08-05,Y,N,Y
17422,11,16,2022-10-08,2023-01-02,Y,N,N
17423,10,16,2020-06-19,2020-08-11,Y,Y,N
17424,15,18,2022-01-10,2022-05-01,N,N,N
17425,11,7,2022-01-15,2022-07-20,N,Y,N
17426,5,21,2023-08-17,2024-01-27,Y,N,N
17427,7,13,2023-06-25,2024-02-27,Y,Y,Y
17428,14,12,2021-02-01,2021-03-04,N,N,Y
17429,4,16,2022-01-03,2022-09-16,N,N,N
17430,15,5,2021-01-02,2021-08-14,Y,Y,Y
17431,3,22,2021-09-12,2022-02-22,N,N,Y
17432,14,3,2022-04-04,2022-07-16,Y,Y,N
17433,6,7,2020-07-20,2020-10-03,Y,N,N
17434,9,20,2023-04-09,2023-11-02,N,N,Y
17435,1,15,2022-10-17,2023-07-01,Y,N,N
17436,4,8,2023-05-13,2023-07-22,Y,Y,Y
17437,1,1,2020-08-31,2021-04-14,Y,N,N
17438,3,19,2021-01-26,2021-05-29,Y,N,Y
17439,15,17,2021-06-19,2021-09-23,Y,Y,Y
17440,15,4,2021-10-11,2022-02-08,N,N,N
17441,12,6,2022-11-03,2023-09-22,Y,Y,N
17442,2,17,2022-07-06,2022-08-26,N,N,N
17443,11,8,2021-07-30,2021-08-24,Y,N,N
17444,3,7,2021-09-02,2021-11-26,N,N,Y
17445,7,11,2023-06-30,2023-09-29,Y,Y,Y
17446,15,3,2022-02-20,2022-12-05,Y,Y,Y
17447,13,8,2023-12-23,2024-07-10,N,Y,N
17448,7,11,2020-05-06,2020-06-15,Y,N,N
17449,10,10,2023-05-31,2023-10-31,Y,Y,N
17450,6,9,2021-10-08,2022-06-25,Y,Y,N
17451,12,13,2023-09-08,2023-11-21,Y,N,N
17452,13,16,2022-07-01,2022-11-26,Y,N,Y
17453,14,22,2021-07-11,2021-09-22,Y,Y,N
17454,4,2,2020-01-05,2020-01-05,Y,Y,N
17455,2,6,2022-02-16,2022-11-25,N,Y,N
17456,5,9,2021-07-23,2021-10-14,N,N,N
17457,1,14,2021-08-07,2022-05-21,Y,N,N
17458,6,13,2022-07-12,2022-11-14,Y,N,N
17459,6,2,2021-03-31,2021-11-30,N,Y,N
17460,2,15,2023-06-02,2023-10-25,N,Y,N
17461,4,3,2022-09-14,2023-05-13,N,Y,Y
17462,1,11,2024-04-09,2025-02-06,N,N,Y
17463,14,17,2023-08-11,2023-08-18,Y,N,N
17464,3,16,2020-03-25,2020-05-16,Y,Y,Y
17465,9,17,2021-11-18,2022-11-17,N,N,N
17466,1,1,2020-01-14,2020-06-13,Y,N,Y
17467,7,11,2020-12-28,2021-08-29,N,N,N
17468,4,18,2021-10-18,2022-04-23,N,N,Y
17469,6,17,2023-08-07,2023-11-04,Y,Y,Y
17470,7,18,2021-02-09,2021-04-12,N,N,Y
17471,8,16,2023-06-17,2024-05-09,N,N,Y
17472,1,6,2023-03-20,2024-02-04,Y,Y,Y
17473,10,1,2020-09-02,2021-03-01,N,Y,Y
17474,9,19,2023-12-21,2024-12-03,N,Y,Y
17475,1,8,2023-02-21,2023-12-28,N,Y,N
17476,13,1,2023-06-02,2023-08-16,Y,Y,Y
17477,11,22,2023-08-26,2024-01-02,N,N,Y
17478,8,18,2022-08-03,2023-03-19,Y,Y,N
17479,4,6,2021-12-26,2022-09-14,Y,Y,Y
17480,2,8,2022-07-21,2023-06-20,N,Y,Y
17481,14,12,2023-10-19,2024-08-22,Y,Y,N
17482,10,1,2022-08-08,2022-09-13,N,N,Y
17483,13,11,2020-08-26,2021-01-29,Y,N,N
17484,5,22,2021-08-26,2022-04-15,N,Y,Y
17485,4,23,2022-10-13,2022-12-29,N,N,Y
17486,11,6,2022-11-29,2023-09-18,N,Y,N
17487,14,8,2023-10-12,2024-02-26,Y,N,Y
17488,5,20,2021-11-14,2022-10-04,N,N,N
17489,12,5,2021-01-06,2021-11-11,N,Y,N
17490,9,17,2021-11-23,2022-05-09,Y,Y,N
17491,3,5,2021-07-17,2021-11-18,N,N,N
17492,2,2,2021-02-08,2021-12-19,Y,Y,Y
17493,13,23,2022-12-21,2023-07-08,Y,Y,Y
17494,15,7,2020-11-18,2021-02-16,N,Y,Y
17495,4,14,2021-02-25,2022-02-22,Y,N,N
17496,14,4,2023-09-07,2024-05-13,N,Y,N
17497,10,23,2020-08-29,2021-03-05,N,N,Y
17498,10,12,2022-05-11,2022-05-16,N,N,Y
17499,5,2,2023-04-02,2024-03-12,Y,Y,N
17500,5,5,2020-07-30,2021-04-29,Y,Y,N
17501,2,2,2021-10-20,2021-11-02,N,Y,N
17502,10,17,2021-04-14,2021-12-30,Y,Y,Y
17503,3,15,2020-01-14,2020-02-12,N,Y,N
17504,2,4,2020-01-23,2020-08-21,N,N,Y
17505,1,3,2021-06-02,2021-10-24,Y,N,Y
17506,12,21,2023-03-02,2023-08-05,N,Y,N
17507,1,1,2022-10-18,2023-04-29,Y,Y,Y
17508,8,7,2023-03-03,2023-08-12,Y,N,Y
17509,5,18,2023-04-28,2023-09-29,Y,Y,Y
17510,2,14,2024-02-04,2024-07-01,Y,N,Y
17511,6,5,2022-03-18,2022-11-30,N,N,Y
17512,3,14,2020-06-10,2020-11-13,N,Y,Y
17513,14,15,2021-11-14,2022-09-27,N,N,N
17514,6,17,2021-12-21,2022-09-07,Y,Y,Y
17515,7,9,2022-12-11,2023-03-29,Y,N,Y
17516,7,9,2020-06-12,2021-01-09,N,Y,N
17517,1,20,2023-01-05,2023-12-11,Y,Y,Y
17518,9,11,2020-07-13,2021-01-20,N,N,N
17519,1,5,2023-11-27,2024-06-07,Y,N,Y
17520,13,15,2023-10-02,2023-11-18,Y,N,Y
17521,1,18,2021-11-17,2022-07-28,N,N,Y
17522,1,4,2022-12-07,2023-10-23,N,Y,N
17523,1,18,2020-09-26,2020-10-14,N,Y,N
17524,13,16,2021-06-29,2021-09-06,N,N,N
17525,12,17,2023-06-27,2024-06-10,Y,N,N
17526,12,1,2023-01-06,2023-11-09,Y,N,Y
17527,5,13,2020-02-27,2020-12-09,Y,Y,Y
17528,15,15,2020-11-26,2021-01-07,Y,N,N
17529,4,3,2020-05-07,2021-03-30,Y,N,N
17530,15,4,2020-12-22,2021-03-16,N,N,Y
17531,11,2,2021-09-03,2022-04-11,Y,Y,N
17532,12,19,2023-10-21,2023-11-24,Y,Y,N
17533,1,15,2020-12-22,2021-05-24,N,Y,Y
17534,2,19,2024-01-21,2024-05-08,Y,N,N
17535,8,8,2022-05-28,2022-07-30,N,Y,Y
17536,13,13,2022-12-22,2023-03-20,N,N,Y
17537,5,7,2020-06-05,2021-05-20,Y,Y,N
17538,4,13,2021-04-17,2022-03-07,Y,Y,Y
17539,6,10,2023-07-21,2024-01-30,Y,N,N
17540,2,13,2020-03-13,2020-10-17,N,N,N
17541,4,19,2020-02-19,2021-01-11,Y,N,Y
17542,7,22,2021-12-28,2022-11-28,N,Y,Y
17543,10,21,2023-07-29,2024-07-22,N,Y,N
17544,3,13,2021-05-06,2021-10-07,N,Y,N
17545,7,5,2022-12-13,2023-12-05,N,N,N
17546,5,18,2024-01-02,2024-03-17,Y,N,Y
17547,8,1,2023-02-02,2023-02-27,Y,N,Y
17548,1,5,2021-12-04,2022-02-14,Y,N,Y
17549,7,4,2023-03-13,2023-11-08,N,N,Y
17550,14,7,2020-03-07,2020-04-25,Y,N,N
17551,2,11,2023-07-05,2024-04-22,Y,N,N
17552,9,2,2022-12-31,2023-01-16,Y,N,N
17553,14,5,2021-10-31,2021-11-11,N,N,Y
17554,3,8,2020-02-14,2020-03-09,N,Y,Y
17555,12,18,2020-05-21,2021-04-29,Y,N,N
17556,11,14,2021-02-20,2021-09-20,N,Y,Y
17557,1,5,2022-11-04,2023-08-03,Y,Y,Y
17558,6,12,2022-07-01,2022-07-11,N,Y,Y
17559,10,7,2023-09-14,2024-08-23,Y,Y,Y
17560,4,17,2022-11-27,2023-03-01,Y,N,N
17561,7,12,2021-10-08,2022-01-11,N,Y,N
17562,14,12,2022-10-09,2023-02-08,N,N,N
17563,11,21,2022-09-28,2023-07-24,Y,N,N
17564,6,6,2023-08-25,2023-09-18,Y,Y,Y
17565,8,21,2022-07-27,2023-07-21,Y,Y,N
17566,4,19,2022-05-07,2023-01-16,Y,N,Y
17567,8,10,2020-05-24,2021-04-13,Y,N,Y
17568,5,4,2020-10-09,2021-06-15,Y,N,Y
17569,13,2,2022-07-14,2022-09-07,Y,N,N
17570,13,9,2020-09-13,2021-01-16,Y,Y,N
17571,12,18,2022-04-27,2023-03-26,Y,N,N
17572,6,1,2020-10-08,2020-11-06,N,Y,Y
17573,7,10,2023-11-18,2024-08-29,N,N,N
17574,2,13,2022-06-18,2022-06-26,N,N,Y
17575,11,21,2021-04-30,2021-10-11,N,Y,N
17576,5,6,2023-10-17,2024-04-09,Y,Y,Y
17577,11,9,2023-07-25,2023-09-08,N,Y,N
17578,4,15,2022-05-13,2022-06-20,N,N,Y
17579,2,1,2021-06-05,2022-02-01,N,Y,N
17580,12,18,2022-06-09,2023-01-09,N,Y,N
17581,8,7,2022-01-17,2022-05-08,N,Y,N
17582,14,14,2021-10-24,2022-01-31,Y,Y,Y
17583,6,21,2020-03-13,2020-12-14,N,Y,N
17584,6,13,2023-10-11,2024-07-25,Y,N,Y
17585,9,16,2023-12-26,2024-04-25,Y,N,Y
17586,10,5,2022-03-16,2022-10-16,Y,N,Y
17587,7,3,2020-12-11,2021-05-02,N,N,N
17588,10,9,2020-11-20,2021-06-25,Y,Y,N
17589,12,11,2021-03-19,2021-09-12,Y,Y,Y
17590,3,18,2020-06-09,2021-04-21,Y,Y,Y
17591,11,2,2020-06-06,2020-07-29,Y,N,Y
17592,4,5,2023-02-18,2023-06-15,Y,N,N
17593,6,20,2021-10-14,2021-12-09,N,Y,N
17594,3,19,2021-03-06,2021-07-26,N,N,N
17595,2,8,2023-09-26,2024-02-12,Y,Y,N
17596,8,10,2023-03-16,2023-12-16,N,Y,Y
17597,1,14,2022-04-02,2023-03-11,Y,Y,N
17598,8,2,2021-01-25,2021-05-20,N,N,Y
17599,4,5,2023-04-30,2023-12-12,Y,Y,Y
17600,9,22,2023-10-08,2024-01-20,N,N,N
17601,9,22,2023-10-22,2024-06-07,Y,N,Y
17602,11,16,2023-02-01,2024-01-26,Y,N,Y
17603,1,22,2021-03-05,2021-10-23,Y,N,N
17604,6,3,2024-03-27,2024-11-23,N,Y,Y
17605,3,6,2022-09-08,2023-03-18,Y,Y,N
17606,5,12,2022-08-20,2022-10-14,N,N,Y
17607,7,14,2022-03-15,2022-06-02,Y,N,Y
17608,13,6,2023-03-31,2023-04-06,Y,N,N
17609,3,19,2020-08-20,2021-04-07,N,Y,N
17610,9,13,2022-04-05,2023-03-26,Y,N,Y
17611,5,14,2020-02-07,2020-11-08,Y,N,Y
17612,11,15,2020-09-28,2021-05-22,Y,Y,N
17613,8,3,2020-11-17,2021-02-02,Y,Y,Y
17614,3,14,2021-08-04,2022-05-26,Y,Y,N
17615,5,6,2020-05-31,2021-02-12,Y,N,Y
17616,2,18,2022-08-29,2023-02-11,Y,N,Y
17617,5,8,2021-11-20,2022-08-06,N,Y,Y
17618,14,17,2023-04-02,2023-07-04,Y,N,Y
17619,4,3,2022-04-10,2022-06-23,N,Y,Y
17620,11,14,2020-01-16,2020-06-01,Y,Y,N
17621,15,19,2020-06-16,2020-07-22,Y,Y,Y
17622,13,7,2020-10-13,2021-07-09,N,N,N
17623,15,10,2022-02-19,2023-01-14,N,Y,Y
17624,3,13,2022-07-20,2023-04-06,N,N,Y
17625,11,13,2024-03-13,2025-03-04,Y,N,Y
17626,12,3,2020-12-13,2021-08-25,Y,Y,Y
17627,6,13,2023-01-26,2023-12-18,N,Y,Y
17628,12,11,2022-09-19,2023-05-14,Y,Y,N
17629,11,13,2023-07-20,2023-07-26,N,N,N
17630,8,13,2021-08-18,2022-01-30,N,N,Y
17631,7,12,2020-03-18,2021-02-06,Y,N,N
17632,10,20,2023-06-09,2023-12-17,Y,Y,Y
17633,14,17,2023-10-05,2023-12-05,N,N,Y
17634,14,11,2022-08-24,2023-04-02,N,Y,N
17635,1,4,2021-07-22,2022-06-07,N,Y,Y
17636,11,3,2020-09-01,2021-07-31,N,N,Y
17637,10,9,2021-08-31,2022-04-19,Y,Y,Y
17638,14,10,2021-10-22,2022-02-05,Y,N,Y
17639,5,21,2021-11-09,2022-04-19,Y,Y,N
17640,6,6,2023-02-08,2023-11-02,Y,N,Y
17641,13,13,2023-02-04,2023-07-16,Y,N,N
17642,2,8,2021-11-04,2021-11-22,N,Y,N
17643,3,14,2020-11-26,2021-02-15,Y,N,Y
17644,3,12,2022-09-21,2023-04-09,Y,N,Y
17645,5,12,2022-01-22,2022-09-20,N,Y,Y
17646,10,23,2023-12-23,2024-06-13,Y,N,Y
17647,12,17,2021-11-10,2022-04-01,Y,N,N
17648,5,23,2021-09-24,2022-06-09,Y,Y,Y
17649,10,10,2021-10-12,2022-01-03,N,Y,Y
17650,3,7,2023-01-26,2023-12-17,N,N,N
17651,9,19,2021-11-02,2022-10-27,N,Y,N
17652,9,6,2022-09-27,2023-03-21,Y,Y,Y
17653,13,9,2023-10-18,2023-12-16,N,Y,N
17654,13,6,2024-05-29,2024-12-20,N,Y,N
17655,3,22,2020-03-22,2020-12-05,Y,Y,Y
17656,12,13,2023-12-15,2024-04-09,N,Y,Y
17657,2,5,2022-12-21,2023-02-15,N,N,Y
17658,15,23,2022-11-15,2022-12-20,N,Y,Y
17659,4,18,2022-01-30,2022-07-02,Y,N,N
17660,1,12,2020-01-26,2021-01-11,N,Y,N
17661,5,9,2022-03-27,2022-12-03,N,N,Y
17662,11,6,2020-11-23,2021-04-07,Y,Y,N
17663,1,14,2023-06-12,2024-05-28,Y,N,N
17664,7,22,2020-04-30,2020-05-20,N,N,Y
17665,12,17,2020-11-12,2021-08-10,N,Y,N
17666,12,19,2022-03-14,2023-01-06,Y,Y,N
17667,6,9,2022-04-01,2022-08-05,Y,Y,N
17668,5,14,2023-02-21,2023-03-22,Y,Y,Y
17669,8,20,2021-09-11,2022-03-25,N,N,Y
17670,3,14,2024-02-08,2024-10-14,N,N,Y
17671,5,5,2023-05-29,2024-04-09,Y,N,Y
17672,9,6,2020-05-02,2020-08-26,N,Y,Y
17673,14,8,2020-12-26,2021-08-22,N,Y,Y
17674,13,21,2023-09-21,2023-10-16,Y,N,Y
17675,11,21,2022-03-25,2022-05-03,Y,Y,Y
17676,1,21,2023-04-13,2023-06-18,Y,Y,Y
17677,5,19,2021-03-03,2021-04-12,Y,N,Y
17678,5,12,2022-04-21,2023-02-25,Y,Y,Y
17679,12,8,2024-05-31,2024-07-31,N,N,N
17680,2,11,2022-03-27,2022-08-27,Y,N,Y
17681,4,16,2021-09-07,2022-02-25,N,Y,Y
17682,5,2,2024-01-29,2024-04-04,N,N,N
17683,12,10,2022-09-25,2023-06-27,Y,Y,N
17684,6,21,2023-08-24,2023-12-02,N,N,Y
17685,7,6,2020-02-10,2020-05-27,Y,Y,N
17686,8,11,2022-10-13,2023-06-15,N,N,Y
17687,2,1,2021-07-18,2022-04-15,N,Y,Y
17688,10,13,2023-09-15,2024-03-08,Y,Y,Y
17689,2,23,2021-11-12,2022-03-03,N,N,N
17690,9,21,2021-08-13,2022-01-24,N,N,N
17691,2,1,2023-01-16,2023-06-11,Y,N,Y
17692,10,1,2020-09-21,2021-07-13,Y,Y,Y
17693,15,3,2020-12-01,2020-12-18,N,N,Y
17694,5,8,2023-07-04,2024-02-09,N,N,Y
17695,8,5,2021-12-10,2022-09-30,Y,N,N
17696,12,12,2023-01-15,2023-09-22,N,Y,N
17697,2,13,2022-12-26,2023-05-20,N,Y,N
17698,12,12,2020-02-05,2020-06-27,Y,N,N
17699,2,17,2022-12-06,2022-12-06,N,Y,Y
17700,12,12,2024-01-22,2024-09-09,Y,N,N
17701,11,10,2022-07-10,2023-06-14,N,Y,Y
17702,15,13,2020-11-02,2021-07-07,Y,N,Y
17703,15,9,2021-09-02,2022-08-26,Y,Y,Y
17704,12,11,2022-06-18,2023-03-24,N,Y,Y
17705,10,23,2021-08-26,2021-09-11,N,Y,Y
17706,2,2,2021-04-15,2022-03-02,N,N,Y
17707,6,14,2020-03-07,2020-09-04,N,N,N
17708,11,8,2022-02-13,2022-12-02,Y,Y,Y
17709,8,22,2024-03-04,2024-07-24,Y,Y,Y
17710,7,10,2023-08-30,2024-02-28,N,N,Y
17711,7,16,2022-06-26,2022-11-12,Y,Y,Y
17712,5,7,2022-10-27,2023-07-25,Y,N,Y
17713,4,19,2021-12-17,2022-07-14,N,Y,N
17714,5,15,2022-05-02,2023-04-11,Y,Y,Y
17715,4,19,2023-09-05,2024-07-11,Y,N,Y
17716,1,11,2021-06-14,2021-11-07,Y,N,Y
17717,4,7,2023-03-07,2024-01-12,Y,Y,N
17718,7,13,2022-10-08,2023-09-01,N,Y,Y
17719,4,8,2023-12-24,2024-07-03,N,N,N
17720,15,18,2021-08-23,2022-01-20,Y,N,N
17721,7,16,2021-02-26,2021-12-01,Y,N,N
17722,13,6,2020-03-15,2020-11-09,Y,Y,N
17723,11,19,2023-09-18,2023-10-16,Y,N,N
17724,1,2,2023-06-24,2023-12-02,N,N,N
17725,8,18,2023-06-17,2024-05-19,N,Y,N
17726,12,14,2024-03-20,2025-01-08,N,N,Y
17727,9,19,2023-04-05,2023-08-02,Y,Y,N
17728,12,4,2020-03-15,2020-09-28,Y,N,Y
17729,7,21,2021-03-31,2021-07-21,N,Y,Y
17730,14,15,2020-06-29,2021-03-29,Y,Y,Y
17731,6,17,2021-10-27,2022-01-05,Y,Y,Y
17732,5,5,2021-03-17,2021-05-15,Y,N,N
17733,5,18,2020-11-01,2021-05-06,Y,N,Y
17734,5,6,2020-02-12,2020-04-30,Y,Y,Y
17735,15,21,2020-08-21,2020-10-11,Y,Y,Y
17736,15,5,2024-03-29,2024-10-31,Y,Y,Y
17737,2,6,2023-08-23,2024-08-06,N,Y,N
17738,2,18,2023-06-13,2024-03-18,Y,Y,N
17739,3,2,2023-10-06,2023-12-16,Y,N,N
17740,12,13,2020-12-05,2021-03-19,Y,N,Y
17741,3,18,2021-04-03,2022-03-03,N,N,N
17742,3,14,2021-07-04,2021-12-28,N,N,Y
17743,9,9,2020-12-11,2021-03-19,Y,Y,N
17744,2,10,2022-02-11,2022-04-19,Y,Y,N
17745,8,12,2022-06-27,2023-02-07,Y,N,Y
17746,14,6,2021-10-23,2022-09-29,Y,Y,Y
17747,1,20,2023-10-09,2024-06-09,Y,Y,Y
17748,10,7,2021-12-01,2022-03-27,Y,N,Y
17749,10,6,2023-12-30,2024-06-17,N,N,Y
17750,15,20,2022-09-23,2023-09-10,N,N,N
17751,7,18,2022-08-08,2023-07-09,Y,N,N
17752,8,22,2021-06-10,2022-03-03,N,Y,Y
17753,15,4,2022-09-26,2023-05-28,N,N,N
17754,11,19,2024-03-29,2024-11-15,Y,N,N
17755,10,10,2023-11-03,2024-10-16,N,N,Y
17756,8,6,2022-07-27,2023-06-21,N,N,Y
17757,11,4,2021-02-16,2021-08-22,Y,N,N
17758,14,6,2020-12-03,2020-12-26,Y,N,N
17759,12,9,2020-04-07,2020-11-19,Y,N,Y
17760,5,13,2021-03-19,2021-07-19,N,N,N
17761,5,3,2021-01-10,2021-06-16,Y,N,Y
17762,3,4,2020-02-22,2020-06-17,Y,Y,N
17763,5,23,2023-04-07,2023-06-28,Y,N,Y
17764,2,18,2022-11-29,2023-04-14,N,Y,N
17765,10,14,2021-07-14,2022-06-25,Y,N,N
17766,13,12,2020-03-05,2021-01-12,N,N,Y
17767,15,22,2022-11-06,2022-12-25,Y,Y,Y
17768,10,9,2021-01-04,2021-01-19,N,Y,Y
17769,15,21,2020-02-18,2020-11-22,Y,N,Y
17770,3,5,2023-02-05,2023-04-12,N,Y,Y
17771,8,13,2022-11-17,2023-05-11,Y,N,Y
17772,7,6,2024-03-14,2024-03-27,N,N,N
17773,14,18,2020-06-05,2020-09-13,Y,Y,N
17774,14,19,2023-09-20,2024-01-30,Y,N,Y
17775,15,12,2023-11-01,2023-11-04,Y,N,Y
17776,5,23,2021-10-25,2022-10-22,N,Y,N
17777,3,1,2021-11-20,2022-11-09,Y,Y,N
17778,15,23,2020-01-24,2020-11-08,N,N,Y
17779,12,12,2022-10-16,2022-10-20,Y,N,Y
17780,14,16,2020-07-24,2020-12-19,N,Y,Y
17781,11,23,2023-03-08,2023-07-11,N,N,Y
17782,10,10,2021-06-21,2022-06-13,N,Y,N
17783,11,6,2021-06-28,2021-09-14,Y,Y,Y
17784,7,15,2022-07-28,2022-10-06,Y,Y,Y
17785,2,8,2022-06-17,2022-12-25,N,N,Y
17786,15,7,2020-03-08,2020-06-27,N,Y,Y
17787,8,1,2022-02-03,2022-12-30,Y,N,N
17788,11,2,2021-12-09,2022-06-10,Y,N,N
17789,3,19,2021-09-25,2022-07-19,N,Y,N
17790,12,19,2023-02-10,2024-01-01,Y,Y,Y
17791,14,1,2020-05-07,2020-09-24,N,N,Y
17792,13,1,2022-12-16,2023-12-08,Y,N,N
17793,9,8,2022-10-24,2023-01-13,Y,Y,Y
17794,12,16,2022-08-28,2022-09-20,Y,Y,Y
17795,3,13,2022-05-19,2022-11-01,Y,Y,N
17796,13,17,2022-08-12,2022-09-02,Y,Y,N
17797,9,23,2023-04-26,2023-08-09,Y,Y,Y
17798,1,20,2022-02-21,2023-02-01,Y,Y,Y
17799,7,16,2023-06-21,2023-12-10,Y,N,N
17800,7,6,2021-08-25,2022-08-11,N,N,N
17801,1,6,2023-02-22,2023-08-11,Y,N,N
17802,14,15,2022-07-01,2022-07-28,Y,Y,N
17803,6,13,2023-06-19,2024-02-27,Y,N,Y
17804,15,12,2024-01-25,2024-06-28,Y,Y,N
17805,7,23,2021-10-04,2022-06-28,N,N,Y
17806,8,15,2020-10-03,2021-07-18,N,Y,Y
17807,13,14,2022-04-15,2023-02-28,Y,Y,N
17808,7,2,2021-12-10,2022-10-24,N,Y,Y
17809,5,22,2023-12-10,2024-04-23,Y,N,N
17810,4,14,2020-06-23,2021-06-03,N,N,N
17811,8,22,2022-12-03,2023-04-02,Y,Y,N
17812,4,3,2022-01-24,2022-10-19,N,N,N
17813,13,1,2022-12-15,2023-11-16,N,Y,Y
17814,1,21,2022-07-17,2023-04-30,Y,Y,Y
17815,3,18,2022-09-05,2023-07-14,Y,N,Y
17816,3,23,2023-04-10,2023-08-26,N,N,N
17817,9,14,2023-02-24,2023-07-29,N,Y,Y
17818,12,9,2024-02-25,2024-09-11,N,Y,Y
17819,6,5,2022-11-02,2023-03-09,Y,Y,Y
17820,2,3,2023-03-07,2023-12-17,N,Y,N
17821,13,18,2023-07-03,2024-02-13,N,N,N
17822,5,10,2020-07-06,2020-10-06,N,Y,Y
17823,6,1,2022-02-15,2022-05-02,N,N,Y
17824,4,10,2022-05-18,2023-05-16,N,Y,N
17825,13,8,2021-06-18,2021-11-21,N,Y,Y
17826,10,11,2020-06-29,2020-08-03,N,N,N
17827,12,14,2022-09-16,2022-11-01,Y,N,Y
17828,5,18,2023-11-17,2024-01-24,N,N,Y
17829,6,21,2023-03-12,2023-05-05,N,N,N
17830,9,22,2020-12-20,2021-05-13,Y,Y,Y
17831,14,22,2021-02-12,2022-02-05,N,N,N
17832,8,4,2024-03-06,2024-04-21,N,Y,N
17833,13,11,2024-01-22,2024-12-26,N,N,N
17834,6,13,2021-08-21,2021-11-14,N,N,Y
17835,6,23,2022-12-19,2022-12-30,N,Y,Y
17836,8,1,2021-03-22,2021-07-04,Y,N,N
17837,10,18,2023-03-13,2023-05-08,Y,Y,N
17838,7,6,2023-12-27,2024-08-03,N,N,N
17839,1,8,2020-12-10,2021-02-12,Y,N,Y
17840,5,3,2020-09-13,2020-11-23,Y,Y,Y
17841,6,14,2021-12-19,2022-11-14,Y,N,N
17842,9,10,2022-05-16,2023-01-08,Y,Y,Y
17843,9,6,2023-05-27,2023-06-27,N,N,Y
17844,12,16,2020-05-19,2021-04-12,Y,Y,N
17845,13,21,2022-06-03,2023-01-30,Y,N,N
17846,3,10,2021-11-13,2022-10-06,Y,N,N
17847,8,20,2022-08-11,2023-06-23,N,N,Y
17848,1,7,2021-12-14,2022-05-18,N,Y,N
17849,2,20,2020-08-16,2020-08-24,N,N,Y
17850,14,7,2022-01-22,2022-03-10,Y,Y,Y
17851,6,14,2020-10-11,2020-10-21,Y,Y,Y
17852,5,8,2023-09-10,2024-06-29,Y,N,N
17853,4,8,2023-12-21,2024-02-09,N,N,N
17854,4,4,2021-10-23,2022-07-20,N,N,N
17855,10,6,2021-02-17,2021-03-18,Y,N,N
17856,15,14,2022-11-07,2023-04-30,Y,N,Y
17857,9,19,2020-11-24,2021-03-04,Y,Y,N
17858,7,10,2023-06-06,2024-05-21,Y,Y,Y
17859,5,10,2023-09-09,2024-01-25,Y,Y,N
17860,6,19,2021-02-11,2022-01-18,N,N,N
17861,15,18,2023-02-14,2023-08-30,Y,N,Y
17862,5,6,2020-07-27,2020-12-22,Y,Y,Y
17863,5,16,2023-04-19,2023-12-31,Y,Y,Y
17864,14,21,2021-11-23,2022-06-11,Y,Y,Y
17865,15,4,2022-08-26,2023-03-17,Y,N,Y
17866,12,8,2020-04-23,2020-10-18,Y,N,N
17867,13,19,2022-10-11,2023-03-27,N,Y,Y
17868,3,11,2021-04-17,2021-08-10,Y,Y,N
17869,5,3,2024-05-23,2024-11-25,Y,N,N
17870,4,10,2024-04-03,2024-06-01,Y,Y,Y
17871,10,23,2024-05-28,2025-03-29,Y,N,N
17872,7,7,2020-12-07,2021-03-25,N,N,N
17873,10,19,2022-10-13,2023-05-10,N,N,Y
17874,14,21,2021-04-06,2022-04-02,Y,Y,Y
17875,7,5,2024-04-17,2024-08-10,N,N,Y
17876,13,4,2024-01-05,2024-06-18,N,N,Y
17877,15,23,2023-11-04,2024-06-22,Y,Y,N
17878,2,20,2020-03-27,2021-02-06,N,N,N
17879,8,14,2023-08-31,2023-09-30,N,Y,Y
17880,7,17,2023-11-16,2024-05-24,N,Y,N
17881,7,14,2022-02-28,2022-05-29,N,N,N
17882,2,6,2022-04-20,2022-05-22,Y,N,Y
17883,11,7,2021-09-04,2021-10-13,N,N,N
17884,2,8,2023-10-02,2023-10-24,N,N,N
17885,5,13,2021-10-28,2022-10-19,N,N,Y
17886,14,23,2021-09-23,2022-06-25,Y,N,Y
